"","IQ","Alter","LZ","KFZ"
"1",65,21,3,"Ja"
"2",81,21,3,"Ja"
"3",115,21,4,"Nein"
"4",124,NA,4,"Ja"
"5",115,21,3,"Nein"
"6",75,21,NA,"Ja"
"7",89,21,NA,"Ja"
"8",89,NA,4,"Ja"
"9",74,21,NA,"Ja"
"10",88,21,5,"Ja"
"11",97,21,NA,"Ja"
"12",NA,21,5,"Nein"
"13",89,21,NA,"Nein"
"14",83,21,NA,"Nein"
"15",NA,21,5,"Nein"
"16",99,21,3,"Ja"
"17",117,21,4,"Nein"
"18",101,21,4,"Nein"
"19",80,21,1,"Ja"
"20",112,21,4,"Nein"
"21",93,21,NA,"Ja"
"22",NA,21,2,"Ja"
"23",115,21,4,"Nein"
"24",67,21,2,"Ja"
"25",102,21,4,"Nein"
"26",106,21,4,"Nein"
"27",126,21,4,"Nein"
"28",103,21,2,"Ja"
"29",108,21,5,"Nein"
"30",104,21,3,NA
"31",119,21,5,"Ja"
"32",115,21,4,"Nein"
"33",87,21,1,"Ja"
"34",98,21,3,"Nein"
"35",96,21,4,"Ja"
"36",NA,NA,NA,"Ja"
"37",NA,NA,NA,"Ja"
"38",99,22,4,"Ja"
"39",113,22,3,"Nein"
"40",NA,NA,4,"Nein"
"41",79,22,2,"Nein"
"42",104,22,4,"Nein"
"43",118,22,4,"Nein"
"44",100,22,4,"Ja"
"45",108,22,5,"Ja"
"46",102,22,5,"Ja"
"47",125,22,4,"Ja"
"48",NA,22,4,"Nein"
"49",111,22,5,"Ja"
"50",128,22,4,"Ja"
"51",104,22,4,"Nein"
"52",105,22,4,"Nein"
"53",94,22,3,"Ja"
"54",127,22,5,"Ja"
"55",108,22,5,"Nein"
"56",112,22,NA,"Nein"
"57",109,22,3,"Ja"
"58",99,22,3,"Nein"
"59",112,23,4,"Nein"
"60",101,23,2,"Ja"
"61",108,23,NA,"Nein"
"62",99,23,4,"Nein"
"63",61,23,NA,NA
"64",86,23,3,"Nein"
"65",102,NA,4,"Nein"
"66",86,23,NA,"Ja"
"67",74,23,NA,"Nein"
"68",88,NA,3,"Nein"
"69",79,23,2,"Ja"
"70",NA,23,NA,"Ja"
"71",114,23,4,"Ja"
"72",129,23,5,"Ja"
"73",110,23,3,"Nein"
"74",107,24,NA,NA
"75",119,24,4,"Nein"
"76",117,24,NA,NA
"77",96,24,4,"Nein"
"78",59,24,2,"Nein"
"79",120,24,5,"Nein"
"80",94,24,2,"Nein"
"81",90,24,NA,"Nein"
"82",96,25,4,"Nein"
"83",100,NA,2,"Nein"
"84",133,25,5,"Ja"
"85",94,25,3,"Nein"
"86",97,NA,3,"Nein"
"87",105,27,3,"Nein"
"88",84,27,NA,"Ja"
"89",95,28,4,"Ja"
"90",90,28,4,"Ja"
"91",105,28,4,"Nein"
"92",95,28,2,NA
"93",93,28,1,"Ja"
"94",106,28,2,NA
"95",112,29,5,"Nein"
"96",79,29,NA,"Ja"
"97",105,30,4,"Ja"
"98",109,34,4,"Nein"
"99",122,34,2,NA
"100",126,35,4,NA
