"","IQ","Alter","LZ","KFZ"
"1",87,22,4,1
"2",86,22,3,1
"3",116,22,4,2
"4",91,23,3,1
"5",NA,NA,NA,NA
"6",75,NA,NA,NA
"7",89,NA,NA,NA
"8",89,NA,NA,NA
"9",74,NA,NA,NA
"10",97,21,NA,NA
"11",88,21,NA,NA
"12",89,21,NA,NA
"13",83,21,NA,NA
"14",121,21,NA,NA
"15",93,21,3,NA
"16",83,21,2,1
"17",113,22,4,2
"18",112,22,4,2
"19",108,23,5,2
"20",61,23,3,1
"21",102,23,4,2
"22",86,23,4,1
"23",74,23,2,2
"24",88,23,3,2
"25",107,24,4,2
"26",117,24,5,1
"27",90,24,4,2
"28",100,25,2,2
"29",97,25,3,2
"30",84,27,3,1
"31",79,29,3,1
"32",NA,NA,NA,NA
"33",NA,NA,NA,NA
"34",NA,NA,NA,NA
"35",115,NA,NA,NA
"36",88,21,NA,NA
"37",99,21,3,NA
"38",117,21,4,NA
"39",101,21,4,NA
"40",80,21,1,NA
"41",112,21,4,NA
"42",115,21,4,2
"43",67,21,2,1
"44",102,21,4,2
"45",106,21,4,2
"46",126,21,4,2
"47",103,21,2,1
"48",108,21,5,2
"49",104,21,3,1
"50",119,21,5,1
"51",115,21,4,2
"52",87,21,1,1
"53",98,21,3,2
"54",96,21,4,1
"55",99,22,4,1
"56",113,22,3,2
"57",79,22,2,2
"58",104,22,4,2
"59",118,22,4,2
"60",100,22,4,1
"61",108,22,5,1
"62",102,22,5,1
"63",125,22,4,1
"64",111,22,5,1
"65",128,22,4,1
"66",104,22,4,2
"67",105,22,4,2
"68",94,22,3,1
"69",127,22,5,1
"70",108,22,5,2
"71",109,22,3,1
"72",99,22,3,2
"73",112,23,4,2
"74",101,23,2,1
"75",99,23,4,2
"76",86,23,3,2
"77",79,23,2,1
"78",114,23,4,1
"79",129,23,5,1
"80",110,23,3,2
"81",119,24,4,2
"82",96,24,4,2
"83",59,24,2,2
"84",120,24,5,2
"85",94,24,2,2
"86",96,25,4,2
"87",133,25,5,1
"88",94,25,3,2
"89",105,27,3,2
"90",95,28,4,1
"91",90,28,4,1
"92",105,28,4,2
"93",95,28,2,1
"94",93,28,1,1
"95",106,28,2,2
"96",112,29,5,2
"97",105,30,4,1
"98",109,34,4,2
"99",122,34,2,1
"100",126,35,4,2
