"","Ein","Koe","Rau","Sac","Ste","Tru","Unt","Ver","Wah","Wid"
"Ein",0,4.17,2.03,2.37,3.77,4.53,4.67,4.8,4.67,4.37
"Koe",4.17,0,3.77,4.1,4.9,3.23,3.03,2.07,4.93,3.13
"Rau",2.03,3.77,0,3.03,3.1,4.5,4.53,4.33,4.7,4.5
"Sac",2.37,4.1,3.03,0,4.6,3.7,4.77,4.63,4.63,4
"Ste",3.77,4.9,3.1,4.6,0,4.7,4.9,5,3.33,4.27
"Tru",4.53,3.23,4.5,3.7,4.7,0,3.77,4.3,4.9,4.57
"Unt",4.67,3.03,4.53,4.77,4.9,3.77,0,4.07,4.9,4.43
"Ver",4.8,2.07,4.33,4.63,5,4.3,4.07,0,4.97,4.73
"Wah",4.67,4.93,4.7,4.63,3.33,4.9,4.9,4.97,0,4.2
"Wid",4.37,3.13,4.5,4,4.27,4.57,4.43,4.73,4.2,0
