"","X","Ein","Koe","Rau","Sac","Ste","Tru","Unt","Ver","Wah","Wid","person"
"1","Ein",0,5,3,2,4,5,5,5,5,5,1
"2","Koe",5,0,2,3,5,3,5,1,5,2,1
"3","Rau",3,2,0,3,5,5,4,2,5,4,1
"4","Sac",2,3,3,0,5,3,5,5,5,4,1
"5","Ste",4,5,5,5,0,5,5,5,4,5,1
"6","Tru",5,3,5,3,5,0,5,5,5,4,1
"7","Unt",5,5,4,5,5,5,0,5,5,5,1
"8","Ver",5,1,2,5,5,5,5,0,5,5,1
"9","Wah",5,5,5,5,4,5,5,5,0,5,1
"10","Wid",5,2,4,4,5,4,5,5,5,0,1
"11","Ein",0,5,5,5,5,5,5,5,5,5,2
"12","Koe",5,0,5,5,5,5,5,5,5,5,2
"13","Rau",5,5,0,5,5,5,5,5,5,5,2
"14","Sac",5,5,5,0,5,5,5,5,5,5,2
"15","Ste",5,5,5,5,0,5,5,5,5,5,2
"16","Tru",5,5,5,5,5,0,5,5,5,5,2
"17","Unt",5,5,5,5,5,5,0,5,5,5,2
"18","Ver",5,5,5,5,5,5,5,0,5,5,2
"19","Wah",5,5,5,5,5,5,5,5,0,5,2
"20","Wid",5,5,5,5,5,5,5,5,5,0,2
"21","Ein",0,5,4,2,5,5,4,5,5,5,3
"22","Koe",5,0,2,4,5,5,2,1,5,2,3
"23","Rau",4,2,0,3,5,5,5,3,5,5,3
"24","Sac",2,4,3,0,5,5,5,5,5,3,3
"25","Ste",5,5,5,5,0,5,5,5,5,5,3
"26","Tru",5,5,5,5,5,0,5,5,5,5,3
"27","Unt",4,2,5,5,5,5,0,4,5,5,3
"28","Ver",5,1,3,5,5,5,4,0,5,5,3
"29","Wah",5,5,5,5,5,5,5,5,0,5,3
"30","Wid",5,2,5,3,5,5,5,5,5,0,3
"31","Ein",0,5,5,4,5,5,5,5,5,5,4
"32","Koe",5,0,5,5,5,5,5,5,5,4,4
"33","Rau",5,5,0,5,4,5,5,5,5,5,4
"34","Sac",4,5,5,0,5,5,5,5,5,5,4
"35","Ste",5,5,4,5,0,5,5,5,5,5,4
