"","Ein","Koe","Rau","Sac","Ste","Tru","Unt","Ver","Wah","Wid"
"1",1,5,10,0.5,0.17,0.17,10,0.17,0,0.5
"2",2,5,10,1,2,1,15,5,1,2
"3",1,6,6,1,1,1,10,1,0.42,1
"4",2,3,5,15,1,0,10,3,0,0.08
"5",5,8,5,7,1,8,10,2,1,2
"6",0.5,2,2,1,0.5,2,5,1,0.5,0.5
"7",3,5,3,4,4,3,10,3,3,3
"8",0,0.17,0.17,0,0,0,3,0,0,0
"9",0.67,1,1.25,1,0,0.5,5,5,0,0
"10",3,10,0.5,5,10,10,30,5,0.5,2
"11",3,2,8,5,0.67,0.25,15,3,0.08,0.25
"12",2,6,1.5,0.6,0.83,0.25,30,0.67,0,0.25
"13",0.67,3,3,2,0.67,0.5,5,1,0.5,0.42
"14",0.42,1,0.42,1,0.25,2,8,0.33,0,0
"15",2.5,10,3,7,10,10,25,7,0.5,2
"16",0.83,1,2,0.42,0.25,0,4,0.83,0.08,0
"17",5,10,5,3,0.17,0.25,25,0,0,0
"18",0.25,1.5,0.5,1,0.08,0.08,1.5,0.5,0.08,0.08
"19",2,5,8,5,0.25,0.42,15,7,4,0.17
"20",0.25,1,0.75,0.5,0.08,0.33,3,2,0.25,0.17
"21",1,1,2,1,0.42,0,10,3,0,0.25
"22",2,3,4,1,1,3,10,1,1,1
"23",0.42,1,0.42,0,1,0.83,4,0.25,0,0
"24",1,1,2,2,0.17,0.42,20,0.42,0.17,0.08
"25",0.5,3,1,10,0.08,3,15,10,0,0.25
"26",2,4,3,2,1,1,4,3,1,0.25
"27",0.42,5,5,0.33,1,0.42,20,0,0,0
"28",0.83,5,1,0.33,1.5,0.5,15,2,1,0.5
"29",0.5,5,8,5,1,0.5,12,10,0.25,1
"30",0.5,0.6,0.08,5,0,0.25,6,1,0.25,0.25
