"","N","r","p"
"1",46,0.409995134977869,0.005
"2",62,0.254608957774625,0.046
"3",51,0.324563229014703,0.02
"4",43,0.308656134843594,0.044
"5",43,0.322043672715288,0.035
"6",50,0.324940975409641,0.021
"7",35,0.535235284757231,0.001
"8",50,0.448257219906318,0.001
"9",48,0.322835601371508,0.025
"10",48,0.302670189651452,0.037
"11",49,0.283638961169001,0.048
"12",39,0.41102877658267,0.009
"13",51,0.335600944113518,0.016
"14",42,0.366499175128432,0.017
"15",44,0.40132863686466,0.007
"16",62,0.370363533380544,0.003
"17",23,0.416009598229784,0.048
"18",57,0.281789588512855,0.034
"19",39,0.53647805364539,0
"20",48,0.520749135827743,0
"21",135,0.349200864870931,0
"22",191,0.232968475330275,0.001
"23",189,0.179434883923721,0.013
"24",168,0.203858157015071,0.008
"25",181,0.182768008693458,0.014
"26",103,0.220859302973193,0.025
"27",135,0.317770321509329,0
"28",108,0.233704104525926,0.015
